energy,tempo,danceability,loudness,valence,speechiness,instrumentalness,acousticness,liveness,duration_ms,track_name,track_artist,playlist_genre,playlist_subgenre,track_popularity,popular,genre_group
0.164,58.303,0.136,-18.756,0.071,0.0364,0.916,0.911,0.109,166867.0,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato","Pyotr Ilyich Tchaikovsky, André Previn, London Symphony Orchestra",classical,essential,68,1,calm
0.00527,170.612,0.184,-37.264,0.151,0.0432,0.887,0.995,0.173,315427.0,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Ludwig van Beethoven, Paul Lewis",classical,essential,68,1,calm
0.449,92.468,0.447,-10.634,0.036,0.0376,0.961,0.934,0.0697,315427.0,Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani",classical,essential,75,1,calm
0.812,80.09,0.505,-3.986,0.664,0.461,0.0,0.285,0.444,255916.0,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",hip-hop,modern,88,1,urban
0.507,130.007,0.872,-6.323,0.506,0.072,0.0,0.195,0.111,158667.0,HIM ALL ALONG,Gunna,hip-hop,modern,76,1,urban
0.802,128.085,0.835,-4.286,0.374,0.243,7.33e-06,0.0311,0.0882,143778.0,Leave Me Alone,BigXthaPlug,hip-hop,modern,71,1,urban
0.533,120.011,0.794,-8.206,0.15,0.0591,2.76e-05,0.14,0.207,179023.0,PLUTOSKI,Future,hip-hop,modern,73,1,urban
0.722,119.973,0.769,-5.485,0.57,0.0507,2.56e-06,0.0584,0.111,256000.0,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",hip-hop,modern,92,1,urban
0.684,166.976,0.832,-4.691,0.68,0.359,0.0,0.00449,0.229,149461.0,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",hip-hop,modern,78,1,urban
0.642,111.907,0.65,-5.332,0.186,0.04,0.0,0.00502,0.0855,127154.0,Insecurities,Lil Baby,hip-hop,modern,70,1,urban
0.699,129.054,0.92,-6.635,0.484,0.358,0.0,0.00768,0.0745,138180.0,Gang Baby,NLE Choppa,hip-hop,modern,72,1,urban
0.628,119.98,0.757,-6.715,0.321,0.101,0.0209,0.189,0.221,217333.0,NEW DROP,Don Toliver,hip-hop,modern,85,1,urban
0.709,78.53,0.749,-6.385,0.564,0.259,0.0,0.155,0.329,181166.0,Help Me,Real Boston Richey,hip-hop,modern,73,1,urban
0.69,125.951,0.853,-5.858,0.471,0.0647,0.0,0.0771,0.0835,137143.0,No Face,Drake,hip-hop,modern,78,1,urban
0.754,131.001,0.863,-5.851,0.301,0.0611,0.0,0.00125,0.0913,139197.0,LIL DEMON,Future,hip-hop,modern,77,1,urban
0.4,106.682,0.608,-9.519,0.089,0.32,0.000327,0.029,0.119,159228.0,2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",hip-hop,modern,69,1,urban
0.509,157.94,0.662,-9.159,0.549,0.322,0.0,0.247,0.266,136709.0,Sorry Not Sorry,"Lil Yachty, Veeze",hip-hop,modern,70,1,urban
0.663,143.082,0.76,-4.763,0.209,0.0551,0.0,0.109,0.305,148053.0,ALL RED,Playboi Carti,hip-hop,modern,81,1,urban
0.761,147.216,0.649,-4.204,0.313,0.152,0.0,0.00694,0.207,150204.0,I CAN’T LET GO,"Lil Tecca, Don Toliver",hip-hop,modern,73,1,urban
0.663,184.057,0.672,-5.984,0.381,0.243,0.0,0.112,0.134,138324.0,Chill Bae,Lil Uzi Vert,hip-hop,modern,76,1,urban
0.681,114.991,0.884,-5.839,0.324,0.149,0.0,0.0439,0.277,184294.0,2AM,BigXthaPlug,hip-hop,modern,69,1,urban
0.723,139.942,0.783,-4.881,0.294,0.135,0.0,0.0264,0.159,278001.0,It's Up (feat. Young Thug & 21 Savage),"Drake, Young Thug, 21 Savage",hip-hop,modern,76,1,urban
0.831,139.905,0.652,-5.972,0.648,0.264,0.0,0.0111,0.269,150997.0,The Viper,BabyChiefDoit,hip-hop,modern,68,1,urban
0.525,75.013,0.776,-6.723,0.467,0.137,0.0,0.0366,0.108,217613.0,Brokey,Latto,hip-hop,modern,70,1,urban
0.5,63.925,0.427,-8.269,0.269,0.141,0.0,0.286,0.127,180000.0,25,Rod Wave,hip-hop,modern,76,1,urban
0.586,125.845,0.731,-7.564,0.147,0.172,0.0,0.116,0.0987,199165.0,Or What,"NLE Choppa, 41, Kyle Richh",hip-hop,modern,77,1,urban
0.552,144.941,0.64,-5.679,0.112,0.129,0.0,0.0215,0.119,228267.0,Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",hip-hop,modern,84,1,urban
0.472,101.061,0.898,-7.001,0.214,0.0776,0.0,0.0107,0.141,274192.0,Not Like Us,Kendrick Lamar,hip-hop,modern,88,1,urban
0.859,129.77,0.77,-3.382,0.64,0.275,0.0,0.362,0.673,207273.0,Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, The Creator, ScHoolboy Q, Santigold",hip-hop,modern,85,1,urban
0.685,121.991,0.731,-4.707,0.458,0.12,0.0,0.054,0.0865,167229.0,FIELD TRIP,"¥$, Playboi Carti, Don Toliver, Kodak Black",hip-hop,modern,72,1,urban
